taxi_id,recorded_at,longitude,latitude
20000542,2014-08-14 17:57:17,-8.58567600,41.14852200
20000542,2014-08-14 17:57:32,-8.58571200,41.14863900
20000542,2014-08-14 17:57:47,-8.58568500,41.14885500
20000542,2014-08-14 17:58:02,-8.58573000,41.14892700
20000542,2014-08-14 17:58:17,-8.58598200,41.14896300
20000542,2014-08-14 17:58:32,-8.58639600,41.14895400
20000542,2014-08-14 17:58:47,-8.58607200,41.14872000
20000542,2014-08-14 17:59:02,-8.58632400,41.14784700
20000542,2014-08-14 17:59:17,-8.58699900,41.14746000
20000542,2014-08-14 17:59:32,-8.58657600,41.14715400
20000542,2014-08-14 17:59:47,-8.58488400,41.14662300
20000108,2014-08-14 17:50:11,-8.61087600,41.14557000
20000108,2014-08-14 17:50:26,-8.61085800,41.14557900
20000108,2014-08-14 17:50:41,-8.61090300,41.14576800
20000108,2014-08-14 17:50:56,-8.61044400,41.14619100
20000108,2014-08-14 17:51:11,-8.60944500,41.14675800
20000108,2014-08-14 17:51:26,-8.60889600,41.14711800
20000108,2014-08-14 17:51:41,-8.60896800,41.14712700
20000108,2014-08-14 17:51:56,-8.60870700,41.14753200
20000108,2014-08-14 17:52:11,-8.60834700,41.14811700
20000108,2014-08-14 17:52:26,-8.60814900,41.14835100
20000108,2014-08-14 17:52:41,-8.60804100,41.14857600
20000108,2014-08-14 17:52:56,-8.60765400,41.14926000
20000108,2014-08-14 17:53:11,-8.60734800,41.14989900
20000108,2014-08-14 17:53:26,-8.60739300,41.14989900
20000108,2014-08-14 17:53:41,-8.60735700,41.14996200
20000108,2014-08-14 17:53:56,-8.60681700,41.15097900
20000108,2014-08-14 17:54:11,-8.60635800,41.15191500
20000108,2014-08-14 17:54:26,-8.60571900,41.15278800
20000108,2014-08-14 17:54:41,-8.60498100,41.15331900
20000108,2014-08-14 17:54:56,-8.60478300,41.15434500
20000108,2014-08-14 17:55:11,-8.60482800,41.15437200
20000108,2014-08-14 17:55:26,-8.60480100,41.15535300
20000108,2014-08-14 17:55:41,-8.60464800,41.15677500
20000108,2014-08-14 17:55:56,-8.60452200,41.15819700
20000108,2014-08-14 17:56:11,-8.60451300,41.15994300
20000108,2014-08-14 17:56:26,-8.60437800,41.16055500
20000108,2014-08-14 17:56:41,-8.60437800,41.16060000
20000108,2014-08-14 17:56:56,-8.60436900,41.16064500
20000108,2014-08-14 17:57:11,-8.60436000,41.16080700
20000108,2014-08-14 17:57:26,-8.60416200,41.16117600
20000108,2014-08-14 17:57:41,-8.60412600,41.16124800
20000108,2014-08-14 17:57:56,-8.60409000,41.16129300
20000108,2014-08-14 17:58:11,-8.60409000,41.16126600
20000108,2014-08-14 17:58:26,-8.60410800,41.16123900
20000108,2014-08-14 17:58:41,-8.60412600,41.16119400
20000108,2014-08-14 17:58:56,-8.60413500,41.16127500
20000108,2014-08-14 17:59:11,-8.60391000,41.16204900
20000108,2014-08-14 17:59:26,-8.60292900,41.16283200
20000108,2014-08-14 17:59:41,-8.60255100,41.16311100
20000108,2014-08-14 17:59:56,-8.60189400,41.16359700
20000370,2014-08-14 17:49:28,-8.58573900,41.14855800
20000370,2014-08-14 17:49:43,-8.58573000,41.14882800
20000370,2014-08-14 17:49:58,-8.58572100,41.14897200
20000370,2014-08-14 17:50:13,-8.58628800,41.14901700
20000370,2014-08-14 17:50:28,-8.58611700,41.14856700
20000370,2014-08-14 17:50:43,-8.58619800,41.14831500
20000370,2014-08-14 17:50:58,-8.58627900,41.14791900
20000370,2014-08-14 17:51:13,-8.58715200,41.14732500
